2023-10-09 13:00:11,016 [INFO] - {'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:13:07,370 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:13:25,067 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:13:40,857 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:14:06,367 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:14:32,216 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:14:46,690 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:14:59,832 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:15:08,243 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:15:18,106 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:15:30,490 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:16:21,271 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:16:39,941 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:16:51,981 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:17:55,476 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:18:24,804 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
2023-10-09 13:18:35,939 [INFO] - filtered products for discount{'apple': {'category': 'fruit', 'discount': 25}, 'Fish': {'category': 'Non Veg', 'discount': 25}, 'orange': {'category': 'fruit', 'discount': 15}, 'belgium chocolate cake': {'category': 'cake', 'discount': 25}}
